id,name,area,type,x,y,rel
0,上海市邮电俱乐部,虹口区,休闲娱乐,886.2824425324798,3076.5097746471874,0.09363502971184062
1,胜和胜棋牌会所,静安区,休闲娱乐,302.28561583533883,3121.451901272405,0.23767857660247904
2,顺赢达棋牌会所,虹口区,休闲娱乐,1440.5186074897647,3523.8438533511944,0.18299848545285127
3,春遇·SPA,虹口区,休闲娱乐,1369.1294394731522,3534.6122186947614,0.14966462104925915
4,珠江棋牌,虹口区,休闲娱乐,1110.595786517486,3671.0031695053913,0.03900466011060913
5,THE UPPER ROOM,黄浦区,休闲娱乐,1059.463222272694,2444.172033486422,0.03899863008405066
6,茗圣棋牌,黄浦区,休闲娱乐,1050.5144492015245,2528.683032481465,0.014520903042049865
7,Corner Bar酒吧,虹口区,休闲娱乐,1549.773376710713,2981.421087829396,0.2165440364437338
8,Lucky Pub,虹口区,休闲娱乐,1568.2236347012222,3001.792638988234,0.1502787529358022
9,宇航大厦-商务中心,虹口区,休闲娱乐,895.9127263277769,3216.9200246036053,0.17701814444901137
10,外滩街道社区文化活动中心,黄浦区,休闲娱乐,814.6952976193279,2377.36796559766,0.005146123573950612
11,上海久事艺术沙龙,黄浦区,休闲娱乐,1007.0871593691407,2437.9331838865764,0.24247746304049858
12,世纪同框广场,虹口区,休闲娱乐,1384.2423104010522,2871.3904103082605,0.20811066020010544
13,博物院广场,黄浦区,休闲娱乐,1228.290317632258,2494.0292494781315,0.05308477766956904
14,The Roof屋顶酒吧,虹口区,休闲娱乐,1116.1165090370923,2974.721174909733,0.045456241801775155
15,ZA足浴养生堂,虹口区,休闲娱乐,1087.4361958336085,3566.353432350792,0.045851127463358454
16,北站724星球,静安区,休闲娱乐,387.2842750754208,2708.1974008767866,0.07606056073988443
17,外滩源文化广场,黄浦区,休闲娱乐,1347.0349861457944,2642.6681625242345,0.13118910790805946
18,上海宝格丽酒店-水疗中心,静安区,休闲娱乐,494.49667527899146,2728.314316073433,0.10798625466052894
19,阿哈龙广场,黄浦区,休闲娱乐,1174.7147952504456,2566.498699213378,0.07280728504951048
20,招远小区,浦东新区,住宅区,4225.647789878771,1863.5393437785096,0.22237057894447587
21,南泉北路170弄-537号,浦东新区,住宅区,4404.635197270662,1895.1136341174133,0.12789877213040837
22,上港小区,浦东新区,住宅区,4179.131744198501,2072.333175410051,0.15842892970704364
23,三航小区,浦东新区,住宅区,3982.2856653295457,1848.392472543288,0.17327236865873835
24,乳山一村,浦东新区,住宅区,4403.568358905613,1640.3267800393514,0.19121399684340717
25,招远社区,浦东新区,住宅区,4243.517434906215,1850.106477593072,0.2570351922786027
26,崂山四村,浦东新区,住宅区,4520.5792867634445,1700.0093865771778,0.13993475643167194
27,乳山二村-28号楼,浦东新区,住宅区,4604.915072955191,1446.2995824716054,0.2028468876827223
28,崂山三四村,浦东新区,住宅区,4573.223125627264,1722.5029813200235,0.21848291377240847
29,浦东南路595弄,浦东新区,住宅区,4008.495735058561,1723.032855662983,0.10929008254399955
30,崂山三村,浦东新区,住宅区,4630.345746072009,1761.9539506775327,0.22150897038028766
31,崂山六村,浦东新区,住宅区,4479.483717612922,2175.594348983839,0.1341048247374583
32,上船大楼,浦东新区,住宅区,4037.586842395365,2264.933123232331,0.1130103185970559
33,崂五小区,浦东新区,住宅区,4482.434427533299,1981.4005675315857,0.28977710745066665
34,乳山二村-14号楼,浦东新区,住宅区,4557.867010194808,1481.6532923639752,0.29312640661491185
35,上港小区136弄,浦东新区,住宅区,4220.767872966826,1984.3165531903503,0.26167946962329225
36,崂山新村,浦东新区,住宅区,4737.315947460011,2124.40004612552,0.16092275383467414
37,东昌新村,浦东新区,住宅区,3825.122269412503,1430.8358382582664,0.11953442280127678
38,三航小区575弄,浦东新区,住宅区,3952.26271452941,1895.0268671070223,0.23684660530243137
39,南泉北路170弄-556号,浦东新区,住宅区,4544.776844026521,1926.0012921248565,0.18803049874792027
40,仁恒滨江园-三期,浦东新区,住宅区,3606.4701420199126,1072.6107757980935,0.12440764696895577
41,菊园,浦东新区,住宅区,4062.595579724759,807.8112545525655,0.19903538202225401
42,中粮海景壹号,浦东新区,住宅区,2958.532529711724,1226.3801767383702,0.10687770422304368
43,财富海景花园,浦东新区,住宅区,3557.8824275750667,503.067068583332,0.2818640804157564
44,江临天下,浦东新区,住宅区,3845.4632896054536,564.0838779523037,0.1517559963200034
45,仁恒滨江园,浦东新区,住宅区,3483.414815735072,1012.6561595294625,0.23250445687079638
46,盛大金磐花园,浦东新区,住宅区,3209.6417096536607,1264.965069191996,0.1623422152178822
47,东昌路498弄-436号,浦东新区,住宅区,3892.416016038507,1067.2674775137566,0.20401360423556214
48,浦明路99弄-20号,浦东新区,住宅区,3466.460521170869,976.3636398278176,0.20934205586865592
49,汇豪天下,浦东新区,住宅区,3649.339628452435,731.7275663404725,0.1369708911051054
50,马厂路19弄,虹口区,住宅区,2042.405157553032,3325.941571292933,0.2939169255529117
51,百福小区,虹口区,住宅区,2069.614133195952,3438.9969255439937,0.2550265646722229
52,平安里,虹口区,住宅区,1906.1880003847184,3279.279540094547,0.2878997883128378
53,马厂路49弄小区,虹口区,住宅区,2084.909188164398,3366.6616834537126,0.27896547008552974
54,白金府邸,虹口区,住宅区,1944.153042173013,3676.750481693074,0.21957999576221704
55,东长治路公房,虹口区,住宅区,2031.1617416143415,3466.9264794178307,0.28437484700462334
56,旅顺路71弄,虹口区,住宅区,2104.4366943929344,3462.999773491174,0.1176985004103839
57,宇泰公寓,虹口区,住宅区,2063.701870882884,3718.199707561638,0.13919657248382905
