id,name,area,type,x,y,rel
160,L·A Fitness健身工作室(五角场万达店),杨浦区,运动健身,169.57213126122952,1488.5653583514504,0.11033493981577597
161,江湾体育中心综合体育馆(杨浦店),杨浦区,运动健身,760.9127833396196,2049.1129376445897,0.18969174917807383
162,江湾体育中心,杨浦区,运动健身,532.911507120356,1916.378245901782,0.1900589132282684
163,嗨森精品酒店(上海五角场店),杨浦区,酒店,719.6893301308155,231.26178694795817,0.2607324052224276
164,时光漫步S酒店(上海复旦大学五角场地铁站店),杨浦区,酒店,977.8267423231156,939.709791330155,0.1270869310163225
165,弗思特逸住酒店(上海五角场店),杨浦区,酒店,983.475963577628,367.87055452680215,0.3505907486767714
166,上海林兹万达青年公寓(政通路店),杨浦区,酒店,-0.3380435090512037,1217.5880746492185,0.19623401949152075
167,爱尚连锁旅店(上海政通路店),杨浦区,酒店,718.496829899028,1609.211094419472,0.1559555531199563
168,上海中谷小南国花园酒店,杨浦区,酒店,2354.572193732485,51.62768356734887,0.11223254246642918
169,华仁宾馆(上海五角场地铁站店),杨浦区,酒店,983.6223390698432,985.0580282961018,0.2772678829564726
170,Zsmart智尚酒店(长海医院店),杨浦区,酒店,1987.0361861623824,1320.0714712110348,0.30326930855268475
171,上海霞洛五角场公寓,杨浦区,酒店,866.241687906906,137.74132673908025,0.10497634867835685
172,然居舍公寓(国定东路分店),杨浦区,酒店,920.8682214803994,781.2445066529326,0.2536279174897843
173,上海客居民宿127550,杨浦区,酒店,964.8347648382188,200.1931467521936,0.16794873255938142
174,上海理厢公寓(飞机楼分店),杨浦区,酒店,1946.9649833850565,1569.110850636847,0.293551837122835
175,招商银行(上海创智天地支行),杨浦区,金融,53.96091214008629,1755.9024629555645,0.05230992870149743
176,兴业银行(五角场支行),杨浦区,金融,121.23452644236386,1841.739144227933,0.20728132143073977
177,上海浦东发展银行(创智天地支行),杨浦区,金融,106.81648794934154,1863.5627532312649,0.11602060389016122
178,兴业银行24小时自助银行,杨浦区,金融,160.76464654132724,1840.5309497681449,0.28101899662102037
179,平安银行(上海五角场支行),杨浦区,金融,92.31672777980566,1657.556011532433,0.04125628324379797
180,中国银行(创智天地科技园支行),杨浦区,金融,80.4323879443109,1915.1176255485043,0.10231990531507755
181,中信银行(上海五角场支行),杨浦区,金融,23.86638024635613,2024.121960313525,0.03404205637217672
