s1,s2,distance
14,23,420.58765435681073
14,18,302.31246782044434
26,1,396.6248655081277
7,8,391.4660298992317
8,17,341.8459547417513
1,20,354.6378072843806
8,19,387.65510727158903
13,15,284.5400187684211
6,18,492.51656744696953
16,23,310.36042299206713
15,24,494.3529980199863
2,13,498.7132143975273
16,25,389.34586106629786
12,17,431.73471274139547
3,26,380.14283079907796
9,14,498.06744992737936
