id,x,y
0,68128.69649162516,70258.8964917399
1,65237.019660271704,69484.49882052653
2,65194.73301922716,68409.14337608078
3,64246.303898349404,68346.53500487143
4,61434.342705002055,67695.5191758275
5,65228.0742206946,68774.91852888511
6,64973.22407009825,70811.11912698671
7,63832.16913760081,69858.03141136095
8,65330.22168091312,69255.61984085664
9,65391.735472444445,69972.69730598386
10,60771.61042637192,68668.243880603
11,64149.4892196618,69269.59720735112
12,64102.00266696885,67753.1375431912
13,65803.62193106115,66312.06608542101
14,69446.1191321183,68588.53319365019
15,62717.935710825026,68310.00548790814
16,61360.91967348382,67340.14685365744
17,62740.7681700401,69661.14142724406
18,68593.376026446,69463.33647797676
19,64910.63371358067,70005.75135356234
20,71632.33259330504,78795.39689742122
21,61353.06882509403,66339.17751718033
22,60451.725629219785,67703.40004809527
23,60908.96025015786,66832.61595313577
24,61626.94176027179,68319.06814682717
25,62498.57376405783,68777.32708791597
26,63434.486724969,67381.80517032929
27,63825.52285497449,69493.44051031396
28,63843.29990241118,68377.7411019411
29,64664.87180617079,67858.1590876258
30,64825.72317396104,68858.00748780556
31,65878.74405067228,69675.05698378012
32,65627.32576615922,68499.85077319387
33,67275.37419291772,67564.1833702391
34,64169.4706116505,67229.73204342648
35,63607.38597785868,67234.87724444503
36,62377.32864296809,71370.83388143405
37,62554.354138055816,70378.61547644436
38,61690.44839460775,68934.82530599041
39,64242.9453007523,68797.00959531777
40,64641.49290647358,67314.38852571556
41,62923.69313262962,66677.76728894515
42,61514.513746527955,67068.0882965643
43,60999.089025629684,64925.68906301446
44,60412.389288833365,64163.293497933075
45,55865.04246662557,59718.47626662254
46,58344.10646120086,67732.1443629628
47,59704.363712545484,67204.97315898165
48,61305.26446453482,67842.6755511798
49,62485.2718021702,68563.73145712866
50,65494.117419514805,69715.08510882827
51,67680.55996821821,69950.33788203727
52,68159.2508551199,68941.23915598448
53,70312.1006028112,68640.56492715282
54,71900.64044406638,67218.01341246488
55,73111.72852284089,66895.12444331497
56,74719.26615571976,65002.986724152695
57,62461.32996014692,66895.8420133763
58,61597.946953265,69637.2072529043
59,62594.32486034185,68216.24483095575
60,51850.911247583106,66776.8342364924
61,53053.55201634765,67090.06395566929
62,67889.13850947656,69415.19109985093
63,54479.153342243284,66318.37086072005
64,72804.51425773837,69787.8167475136
65,66385.8103311155,71467.39209300652
66,67526.87862349302,71393.0826955093
67,69676.5118855387,70200.2237258954
68,64296.35624115169,70230.40157947037
69,66975.88310776651,69665.37344939169
70,69124.40352010354,70073.95510638319
71,68673.5788753815,68706.92444630666
72,65577.61738966219,69649.80357179092
73,70622.65069134347,77076.921154398
74,70402.26614743844,75642.607343412
75,69576.29113973491,69395.68694656482
76,60176.43939957768,69342.51013985602
77,63710.922043751925,69186.22243547766
78,65515.09229603037,67592.58316401904
79,68497.65815239958,70002.39466525707
80,68676.85557998717,69777.08087581629
81,68073.22465252317,70392.82504116232
82,68198.1701463554,69965.95392375579
83,63332.39441084862,62449.36003393633
84,61602.44840626605,65839.40757152205
85,67745.11576754786,69743.29002705775
86,64308.99208248407,68439.04837311478
87,62714.608014652506,67073.30043921852
88,67131.50903925113,69587.26605535904
89,60989.138351649046,69600.18346274877
90,62808.12120689452,68035.35348672
91,64946.48282526992,69463.64745677449
92,62206.98534909822,69204.3302682261
93,61544.599627397954,68867.11681463709
94,66389.17584610358,68530.12646010052
95,68496.27692371607,69512.44156944053
96,65821.46971688233,68849.20304861851
97,61186.84671057761,68636.76335405419
98,66635.1814486701,71342.30946755456
99,61044.78222150169,67473.02032573288
100,65047.65698702261,68259.4862227696
101,63277.46694450639,63765.84768694686
102,69022.81429927051,68593.20152258873
103,70031.25092738867,77113.1891342937
104,63974.65640088171,69002.69327636156
105,62328.290417524055,66976.94608194893
106,62934.0835764315,74440.81255198829
107,59451.31089057028,58798.687369207386
108,60688.63392586075,72133.98596079974
109,67201.61804917082,68103.38972265972
110,66208.75801763684,72411.57908693328
111,66936.82296578027,72947.9813327468
112,68050.03535066918,73451.75350691192
113,71283.89664982818,71946.56767952535
114,73637.30801150762,72171.88504354889
115,70439.08468461037,66406.80814574426
116,70767.36592590436,67686.5032352428
117,60875.50026332773,62327.19267394068
118,62331.59578615241,63629.58446591534
119,60458.10964269005,62478.15221299324
120,63105.32046918571,64501.508805392776
121,64741.67628695071,64639.66209451342
122,58100.380768695846,61587.00623937836
123,66150.94746237062,69191.58327660151
124,65440.72295281291,70794.19386560423
125,67759.51058272645,74995.16746969381
126,63534.99308940023,71730.22715982422
127,64496.76620506868,70456.95785982907
128,65525.382482767105,69675.63597417204
129,65678.44999998808,67427.18689691136
130,66405.926665904,62653.81632956164
131,65229.28099574149,61273.465740893036
132,67755.2161008995,65651.9570758366
133,37435.40589130856,50580.4973291303
134,66052.97539448924,69908.86032530293
135,69917.16596917436,68660.63747872412
136,64437.76399852708,69410.21525464905
137,66041.82172119804,69281.40592514211
138,60796.762801378965,68601.36793024605
139,66975.80534590222,60004.802700714674
140,65323.79843132198,59978.98261378566
141,66472.40341229923,57720.0134112169
142,65274.883686285466,53216.13874712819
143,60874.18666189723,67997.65141866123
144,62929.527868229896,27233.565660675056
145,62022.81960506551,69432.01586153032
146,65333.872030114755,70868.49839570234
147,69964.84005730599,68352.6796146715
148,63807.61206737347,68537.84087230545
149,60631.72499675676,67279.03552246885
150,65124.56767853908,67893.64467262337
151,61836.302098678425,69324.04996272456
152,60401.30644534528,67345.45949469367
153,65572.04374998808,70410.15163154574
154,64382.09124994278,67648.85717717744
155,64537.92279004492,69436.22103887564
156,66945.80438165553,71587.127560338
157,62009.96116712503,67146.26551532
158,62224.97801861912,66330.37669393653
159,65217.59505834803,70734.57994561456
160,67963.05355454981,69441.79620038206
161,68496.47948072478,68255.2347945529
162,61929.25221321732,69449.795781516
163,61074.80714330822,67022.57531871973
164,65189.11478441395,68207.4005608065
165,65049.99331570417,69820.37459714012
166,61593.16283551045,69080.43395512272
167,66089.94719491713,67757.36255545402
168,68223.812112391,70201.53603998525
169,65509.73692236096,69022.30804429296
170,65657.8236230053,70852.85571608273
171,64968.43609181233,68127.6189486594
172,66215.0942881424,69581.72619745834
173,64318.079150252044,70000.79452447686
174,76739.80920567736,64997.04717914201
175,78723.40820724145,61537.46432359982
176,80491.18770249933,66067.35411774507
177,101526.6953217946,58163.89404173195
178,84450.46618680842,66102.57855593879
179,86310.99784268439,66204.98471829854
180,87216.77667216398,72850.01748900907
181,95135.10369977169,56676.70495288167
182,64190.208783350885,70606.85177952703
183,64238.21561311185,69712.17325680703
184,63578.46638705954,66196.90079577127
185,63604.00131925754,68543.07693996001
186,60827.676211841404,67372.78964398243
187,67459.02329588309,69652.26125069195
188,67060.46372440271,69776.03947706614
189,65546.38192099147,69793.55947740236
190,62106.80115590803,67029.04159102635
191,61039.74843516201,69080.75993213616
192,65394.89358486794,70745.08257787675
193,61163.017175229266,67690.42759709153
194,64641.43678924255,67206.23306055972
195,68968.86529885605,69133.93730272632
196,66877.90273726359,71046.48861982347
197,61486.69795782678,66939.26218058402
198,63735.416606275365,75305.12900246633
199,62804.73889628425,67073.30438847188
200,69212.23093660362,67876.31039920496
201,61008.05101906136,67858.27170558553
202,66073.94363085553,70386.09597983584
203,66301.22463242151,69331.48128253082
204,65308.25968281366,70688.84353486169
205,61518.94804119691,68447.95996458177
206,42394.34498428181,60760.54440290248
207,53293.5063139461,54762.00424011657
208,49868.52057718113,34883.500779203605
209,35838.72502266802,43934.599210054614
210,51007.055694395676,56418.834336494096
211,71267.14087002724,41437.84837452602
212,20513.83016489446,64864.43200877076
213,55828.52601336315,57357.05630672071
214,41239.50575235672,42878.966176656075
215,60200.99712215364,41335.324225896504
216,26828.4796917215,63152.1831834293
217,60986.59320187569,51004.405913542956
218,54435.74783336744,52298.02639612742
219,33577.819613525644,58533.63081050571
220,50173.41513695568,57137.51027382398
221,36025.46894745156,43200.307147647254
222,36107.02242607437,43142.07333444292
223,55310.66771307774,55196.2127764998
224,58770.52918113582,55152.13897367148
225,59291.4764327649,56749.134789893404
226,60360.321393543854,56634.534551677294
227,53827.91822209209,52681.55232589552
228,56288.75799669698,47742.231264938135
229,64694.8995945137,43630.74281947315
