id,x,y
0,68134.36016738042,70229.70613632118
1,65227.875077674165,69523.16047252994
2,65185.49196086824,68448.96272157552
3,64232.330571077764,68407.90895199357
4,61418.638125468045,67765.12764041638
5,65218.973384222016,68813.85721635632
6,64962.4603095036,70856.34462661808
7,63816.436779182404,69926.38913536584
8,65321.63893865049,69291.87951384857
9,65383.414018865675,70007.30141655076
10,60758.3211296089,68726.23174877837
11,64134.99544589408,69332.7158632311
12,64087.51762331091,67817.2118415013
13,65798.13627639972,66335.89690228365
14,69453.68537662365,68551.73459637444
15,62700.329696690664,68387.89679406676
16,61345.4898691643,67408.70961926831
17,62722.99044658989,69738.90564043727
18,68600.26376424171,69429.06592743332
19,64899.62785408273,70052.53830433032
20,71633.1467404794,78789.93504783837
21,61337.756727272645,66407.66716059996
22,60440.08775946684,67754.49618213112
23,60895.287117145956,66893.44065816421
24,61610.60692525841,68391.15112308413
25,62480.89691511914,68855.22248784779
26,63417.95327418111,67455.40128566092
27,63809.8161197193,69561.91963082599
28,63827.80100960098,68446.02649401082
29,64652.88204519078,67910.82664290583
30,64814.422245230526,68906.89297936577
31,65873.33418587968,69696.61152443895
32,65620.57619363256,68528.2800860731
33,67278.00667746738,67550.49915442057
34,64155.310967234895,67292.62299405271
35,63591.30530785583,67306.49620474316
36,62359.40385532379,71448.3247242556
37,62536.46057914384,70456.45792574342
38,61673.86964131519,69007.60435259948
39,64228.89844524488,68858.41701234691
40,64629.44811559096,67367.61906097643
41,62906.39866061509,66755.16517164977
42,61498.63802698068,67138.8258068813
43,60985.13424596004,64988.26792606665
44,60401.12195933424,64213.5714881327
45,55872.38671664707,59681.775401873514
46,58344.42992287502,67728.83051221957
47,59696.87145718001,67237.49197149603
48,61289.9616083093,67910.365225608
49,62467.62746788934,68641.62312663719
50,65486.42443783581,69746.99575949647
51,67684.68159800768,69928.35445417417
52,68165.16998922825,68911.72729161847
53,70318.20707228221,68610.35710853152
54,71899.93240644224,67219.65587034822
55,73103.98350672051,66928.96012109937
56,74703.97979063727,65071.674149820115
57,62443.88986925036,66973.79590354022
58,61581.51400203444,69708.850544977
59,62576.70953560248,68294.23744269134
60,51841.92831183039,66816.38142983802
61,53051.60545922443,67097.48269371409
62,67894.11819225177,69389.64415420033
