latitude,longitude
31.244036,121.538777
31.238221,121.51276899999999
31.229967,121.512388
31.229638,121.503829
31.225023,121.47846799999999
31.232772,121.512689
31.248448,121.51038399999999
31.241319,121.50008899999999
31.23645,121.51361
31.241949,121.514163
31.23252,121.47251
31.236745,121.502955
31.225104,121.50252499999999
31.213776,121.51786899999999
31.231349,121.550578
31.229608,121.49003499999999
31.222297,121.477806
31.239983,121.49024
31.237964,121.54294399999999
31.242273,121.509823
31.310069,121.570094
31.214606,121.47773
31.225107,121.469635
31.218415,121.473739
31.2298,121.48020299999999
31.233228,121.488057
31.222365,121.49649799999999
31.23852,121.50003
31.229947,121.500191
31.225816000000002,121.507606
31.233471,121.509059
31.239604,121.518554
31.230606,121.516289
31.22331,121.53111899999999
31.221071,121.503132
31.221207,121.498058
31.253161,121.486954
31.245519,121.48855599999999
31.234525,121.480775
31.233099,121.503799
31.221642,121.507393
31.217037,121.491885
31.220197,121.479187
31.203758,121.474536
31.197901,121.469259
31.163148,121.42854899999999
31.225137,121.450751
31.221244,121.46292799999999
31.226161,121.477307
31.231589,121.48793699999999
31.239957,121.515087
31.241645,121.534758
31.233918,121.539054
31.231886,121.55832199999999
31.221216,121.57252199999999
31.218867,121.583366
31.204337,121.597791
31.218778,121.48771599999999
31.239927,121.479941
31.228905,121.48892
31.217424,121.392513
31.219699,121.403352
31.237543,121.536631
31.213749,121.416159
31.241064,121.58061599999999
31.253322,121.523112
31.25272,121.53337099999999
31.243762,121.55263599999999
31.244099,121.504278
31.239455,121.52842899999999
31.242714,121.547697
31.232162,121.543663
31.239445,121.51584
31.29671,121.56106
31.285662,121.559091
31.237568,121.55174199999999
31.237691,121.467165
31.23618,121.49899599999999
31.22365,121.51527499999999
31.242095,121.542085
31.240382,121.543691
31.245061,121.53827899999999
31.241791,121.539401
31.184474,121.495544
31.210749,121.47997099999999
31.240057,121.535338
31.230338,121.50439499999999
31.220107,121.49000099999999
31.238852,121.529828
31.239674,121.474464
31.227485,121.490848
31.238104,121.510148
31.236544,121.485428
31.234016,121.479462
31.230764,121.523152
31.238332,121.542074
31.233267,121.518039
31.232267,121.476243
31.252346,121.525357
31.223332,121.47496299999999
31.228839,121.511061
31.194602,121.49505599999999
31.231328,121.54679
31.296889,121.55577299999999
31.234725,121.50137699999999
31.219418,121.48651699999999
31.276652,121.491953
31.156613,121.46063199999999
31.259135,121.47174899999999
31.227453,121.530458
31.260585,121.52151099999999
31.264661,121.528058
31.268545,121.53805
31.257438,121.56699599999999
31.259421,121.58806999999999
31.214745,121.559449
31.224634000000002,121.56239
31.183788,121.47340799999999
31.193692,121.48652299999999
31.184949,121.469659
31.200284,121.49350799999999
31.201071,121.508279
31.17787,121.44853499999999
31.235864,121.521007
31.248251,121.514601
31.280379,121.535434
31.255746,121.497396
31.245805,121.506086
31.23965,121.51536899999999
31.222359,121.516747
31.185604,121.523268
31.175123,121.512661
31.208624,121.535416
31.09308,121.262969
31.241382,121.520123
